"","BHK","Rent","Size","Area.Type","Area.Locality","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"1","2",15000,1100,"Super Area","Medavakkam","Semi-Furnished","Bachelors",2,"Contact Owner"
"2","2",6500,1000,"Super Area","Urapakkam, Vandalur R.F, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"3","3",90000,2400,"Carpet Area","R.A Puram, Mandaiveli","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"4","3",200000,3000,"Super Area","Madras Boat Club Road","Furnished","Family",4,"Contact Agent"
"5","1",15000,650,"Carpet Area","Kambar Colony","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"6","2",15000,1000,"Carpet Area","Thalambur","Semi-Furnished","Bachelors",2,"Contact Owner"
"7","2",7600,700,"Super Area","Anakaputhur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"8","3",29000,1200,"Carpet Area","Ashok Nagar","Semi-Furnished","Bachelors",3,"Contact Agent"
"9","3",20000,1710,"Super Area","Padur, Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"10","2",12000,600,"Super Area","Mangadu","Furnished","Bachelors/Family",2,"Contact Owner"
"11","2",10500,1080,"Super Area","Ponmar","Unfurnished","Bachelors/Family",2,"Contact Owner"
"12","2",29000,1300,"Super Area","Annanagar west","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"13","2",26000,1027,"Super Area","Karapakkam","Semi-Furnished","Bachelors",2,"Contact Agent"
"14","3",25000,1350,"Super Area","Alandur","Furnished","Family",3,"Contact Owner"
"15","2",10000,950,"Super Area","Selaiyur","Unfurnished","Family",2,"Contact Owner"
"16","2",14000,1300,"Super Area","Iyyappanthangal","Unfurnished","Bachelors/Family",2,"Contact Owner"
"17","2",6000,600,"Super Area","Poonamallee","Unfurnished","Bachelors/Family",1,"Contact Owner"
"18","3",40000,1428,"Super Area","Chromepet, GST Road","Unfurnished","Bachelors",2,"Contact Owner"
"19","2",23000,920,"Carpet Area","KK Nagar","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"20","2",10000,600,"Carpet Area","Sadhanadhapuram","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"21","2",10000,810,"Carpet Area","Tambaram West, Tambaram, Chennai Bypass Road","Unfurnished","Bachelors",1,"Contact Owner"
"22","2",15000,1200,"Super Area","Ramapuram","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"23","1",11000,550,"Super Area","Poongavanapuram","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"24","2",20000,600,"Super Area","Egmore, PH Road","Unfurnished","Family",1,"Contact Owner"
"25","2",15000,850,"Super Area","Old Mahabalipuram Road","Furnished","Bachelors/Family",1,"Contact Owner"
"26","4",22000,2117,"Carpet Area","Sholinganallur","Semi-Furnished","Bachelors/Family",4,"Contact Owner"
"27","2",6000,900,"Super Area","Guduvancheri","Unfurnished","Bachelors",2,"Contact Owner"
"28","2",20000,1000,"Super Area","Thiruvanmiyur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"29","1",6500,500,"Super Area","Aminjikarai, PH Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"30","2",12000,800,"Super Area","Purasawalkam, PH Road","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"31","2",27000,1550,"Super Area","Alwarpet","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"32","2",15000,1500,"Super Area","Madanankppam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"33","3",20000,1700,"Carpet Area","Thirumazhisai","Furnished","Bachelors/Family",6,"Contact Owner"
"34","2",22000,700,"Super Area","T Nagar","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
